layout,mask_L,mask_H,aligner,teacher,hard_mode,alpha,soft_mode,beta,soft_trust,soft_advantage,lambda_edge,q_edge,q_aligner,updates,u_peak_lr,a_peak_lr,case_id,name,group,compare_to,purpose,teacher_predictions_used,teacher_q_used,deployment_teacher_required,status,teacher_A_clone_used,default_pilot_enabled,source_case_id
P0_MASKED_CPLUS3,0,0,IDENTITY,NONE,PLAIN,0,OFF,0,True,True,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C00,P0 plain reconstruction,LADDER,,P/MS baseline; no Teacher at any point,False,False,False,DEFINED_NOT_LAUNCHED,False,True,C00
PLH,1,1,IDENTITY,NONE,PLAIN,0,OFF,0,True,True,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C01,+ explicit LPAN/HPAN,LADDER,C00,Effect of explicit frequency inputs,False,False,False,DEFINED_NOT_LAUNCHED,False,True,C01
PLH,1,1,FRESH_TRAINABLE,NONE,PLAIN,0,OFF,0,True,True,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C02,+ scratch supervised aligner,LADDER,C01,Trainable A without any Teacher,False,False,False,DEFINED_NOT_LAUNCHED,False,True,C02
PLH,1,1,CLONE_TRAINABLE,TPLUS,PLAIN,0,OFF,0,True,True,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C03,+ Teacher aligner initialization only,LADDER,C02,Only pretrained A is transferred,False,False,False,DEFINED_NOT_LAUNCHED,True,True,C03
PLH,1,1,CLONE_TRAINABLE,TPLUS,PLAIN,0,UNIFORM,0.1,False,False,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C04,+ uniform output KD,LADDER,C03,Add unweighted Teacher output supervision,True,False,False,DEFINED_NOT_LAUNCHED,True,True,C04
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C05,+ adaptive reconstruction fitting,LADDER,C04,Add hard difficulty and selective soft gates as one group,True,False,False,DEFINED_NOT_LAUNCHED,True,True,C05
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C06,+ GT edge supervision,LADDER,C05,Add GT edge with fixed neutral reliability 0.5,True,False,False,DEFINED_NOT_LAUNCHED,True,True,C06
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C07,FULL PANDA,LADDER,C06,Use the original q-dependent edge/A weights,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C07
P0_MASKED_CPLUS3,0,0,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C08,FULL minus explicit LP/HP,REMOVE,C07,Student input-only deletion; Teacher remains P0,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C08
PLH,1,1,IDENTITY,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C09,FULL minus Student PAN alignment,REMOVE,C07,Train without Student warp from update 0; Teacher still aligned,True,True,False,DEFINED_NOT_LAUNCHED,False,True,C09
PLH,1,1,FRESH_TRAINABLE,NONE,PLAIN,0,OFF,0,True,True,0.002,CONST_HALF,CONST_HALF,50000,0.0001,3e-06,C10,Teacher-free strong supervised model,REMOVE,C07,"No Teacher output, A clone, d, q or calibration statistic",False,False,False,DEFINED_NOT_LAUNCHED,False,True,C10
PLH,1,1,CLONE_TRAINABLE,TZERO,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C11,FULL minus Teacher consistency,REMOVE,C07,Matched T0 entire reference bundle; not turning con off at inference,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C11
PLH,1,1,CLONE_TRAINABLE,TPLUS,PLAIN,0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C12,FULL minus hard difficulty emphasis,REMOVE,C07,alpha=0 only; d remains in soft trust gate,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C12
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,OFF,0,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C13,FULL minus soft output KD,REMOVE,C07,beta=0 only; Teacher remains through A/d/q,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C13
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C14,FULL minus GT edge,REMOVE,C07,lambda_edge=0 only; q-weighted A stays active,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C14
PLH,1,1,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,TRAIN_MEAN,TRAIN_MEAN,50000,0.0001,3e-06,C15,FULL minus sample-dependent q weighting,REMOVE,C07,Replace both q weights by the same train-view mean,True,True,False,DEFINED_NOT_LAUNCHED,True,True,C15
PLH,1,1,CLONE_FROZEN,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,C16,FULL minus Student A adjustment,REMOVE,C07,"A remains the exact Teacher clone, eval/frozen, no optimizer decay",True,True,False,DEFINED_NOT_LAUNCHED,True,True,C16
PL_MASKED_CPLUS3,1,0,CLONE_TRAINABLE,TPLUS,ADAPTIVE,1.0,SELECTIVE,0.1,True,True,0.002,ADAPTIVE,ADAPTIVE,50000,0.0001,3e-06,F01,FULL with P+L only,FREQUENCY,C07;C08;F02,P/L/H reparameterization study; H slot masked,True,True,False,DEFINED_NOT_LAUNCHED,True,False,F01
